index,category_name,question,answer
1,uppercase,b,B
2,uppercase,a,A
3,uppercase,d,D
4,uppercase,e,E
5,uppercase,f,F
6,uppercase,g,G
7,uppercase,h,H
8,uppercase,i,I
9,uppercase,j,J
10,uppercase,c,C
11,uppercase,k,K
12,uppercase,l,L
13,uppercase,m,M
14,uppercase,n,N
15,uppercase,o,O
16,uppercase,p,P
17,uppercase,q,Q
18,uppercase,r,R
19,uppercase,s,S
20,uppercase,t,T
21,uppercase,u,U
22,uppercase,v,V
23,uppercase,w,W
24,uppercase,x,X
25,uppercase,y,Y
26,uppercase,z,Z
27,lowercase,B,b
28,lowercase,A,a
29,lowercase,D,d
30,lowercase,E,e
31,lowercase,F,f
32,lowercase,G,g
33,lowercase,H,h
34,lowercase,I,i
35,lowercase,J,j
36,lowercase,C,c
37,lowercase,K,k
38,lowercase,L,l
39,lowercase,M,m
40,lowercase,N,n
41,lowercase,O,o
42,lowercase,P,p
43,lowercase,Q,q
44,lowercase,R,r
45,lowercase,S,s
46,lowercase,T,t
47,lowercase,U,u
48,lowercase,V,v
49,lowercase,W,w
50,lowercase,X,x
51,lowercase,Y,y
52,lowercase,Z,z
53,first_letter,the cat went up the tree,t
54,first_letter,elephants are cool,e
55,first_letter,beautiful morning sunshine,b
56,first_letter,running through the forest,r
57,first_letter,amazing journey ahead,a
58,first_letter,quickly jumping over fences,q
59,first_letter,wonderful day for walking,w
60,first_letter,sitting by the ocean,s
61,first_letter,laughing with friends,l
62,first_letter,dancing in the moonlight,d
63,first_letter,purple flowers blooming everywhere,p
64,first_letter,velvet curtains hanging gracefully,v
65,first_letter,mountain peaks touching clouds,m
66,first_letter,children playing in park,c
67,first_letter,orange sunset over hills,o
68,first_letter,friendly neighborhood gathering together,f
69,first_letter,gentle breeze flowing softly,g
70,first_letter,kind words spoken warmly,k
71,first_letter,joyful celebration with everyone,j
72,first_letter,happy memories being made,h
73,first_letter,incredible adventure awaits you,i
74,first_letter,zebras running across plains,z
75,first_letter,young birds learning flight,y
76,first_letter,new opportunities emerging daily,n
77,first_letter,umbrella protecting from rain,u
78,first_letter,treasures hidden beneath sand,t
79,first_letter,excited children opening presents,e
80,first_letter,quiet moments of reflection,q
81,first_letter,brave heroes saving day,b
82,first_letter,simple pleasures of life,s
83,first_letter,ancient trees standing tall,a
84,first_letter,rivers flowing to sea,r
85,first_letter,delicious food on table,d
86,first_letter,warm sunshine on face,w
87,first_letter,loving family together always,l
88,first_letter,peaceful garden with flowers,p
89,first_letter,magnificent view from mountain,m
90,first_letter,creative ideas flowing freely,c
