input,output,category_name,operations
afghanistan,NATSINAHGFA,upper_reverse,uppercase+reverse
albania,AINABLA,upper_reverse,uppercase+reverse
algeria,AIREGLA,upper_reverse,uppercase+reverse
andorra,ARRODNA,upper_reverse,uppercase+reverse
angola,ALOGNA,upper_reverse,uppercase+reverse
argentina,ANITNEGRA,upper_reverse,uppercase+reverse
armenia,AINEMRA,upper_reverse,uppercase+reverse
australia,AILARTSUA,upper_reverse,uppercase+reverse
austria,AIRTSUA,upper_reverse,uppercase+reverse
azerbaijan,NAJIABREZA,upper_reverse,uppercase+reverse
bahamas,SAMAHAB,upper_reverse,uppercase+reverse
bahrain,NIARHAB,upper_reverse,uppercase+reverse
bangladesh,HSEDALGNAB,upper_reverse,uppercase+reverse
barbados,SODABRAB,upper_reverse,uppercase+reverse
belarus,SURALEB,upper_reverse,uppercase+reverse
belgium,MUIGLEB,upper_reverse,uppercase+reverse
belize,EZILEB,upper_reverse,uppercase+reverse
benin,NINEB,upper_reverse,uppercase+reverse
bhutan,NATUHB,upper_reverse,uppercase+reverse
bolivia,AIVILOB,upper_reverse,uppercase+reverse
botswana,ANAWSTOB,upper_reverse,uppercase+reverse
brazil,LIZARB,upper_reverse,uppercase+reverse
brunei,IENURB,upper_reverse,uppercase+reverse
bulgaria,AIRAGLUB,upper_reverse,uppercase+reverse
burundi,IDNURUB,upper_reverse,uppercase+reverse
cambodia,AIDOBMAC,upper_reverse,uppercase+reverse
cameroon,NOOREMAC,upper_reverse,uppercase+reverse
canada,ADANAC,upper_reverse,uppercase+reverse
chad,DAHC,upper_reverse,uppercase+reverse
chile,ELIHC,upper_reverse,uppercase+reverse
china,ANIHC,upper_reverse,uppercase+reverse
colombia,AIBMOLOC,upper_reverse,uppercase+reverse
comoros,SOROMOC,upper_reverse,uppercase+reverse
congo,OGNOC,upper_reverse,uppercase+reverse
croatia,AITAORC,upper_reverse,uppercase+reverse
cuba,ABUC,upper_reverse,uppercase+reverse
cyprus,SURPYC,upper_reverse,uppercase+reverse
denmark,KRAMNED,upper_reverse,uppercase+reverse
djibouti,ITUOBIJD,upper_reverse,uppercase+reverse
dominica,ACINIMOD,upper_reverse,uppercase+reverse
ecuador,RODAUCE,upper_reverse,uppercase+reverse
egypt,TPYGE,upper_reverse,uppercase+reverse
eritrea,AERTIRE,upper_reverse,uppercase+reverse
estonia,AINOTSE,upper_reverse,uppercase+reverse
eswatini,INITAWSE,upper_reverse,uppercase+reverse
ethiopia,AIPOIHTE,upper_reverse,uppercase+reverse
fiji,IJIF,upper_reverse,uppercase+reverse
finland,DNALNIF,upper_reverse,uppercase+reverse
france,ECNARF,upper_reverse,uppercase+reverse
gabon,NOBAG,upper_reverse,uppercase+reverse
gambia,AIBMAG,upper_reverse,uppercase+reverse
georgia,AIGROEG,upper_reverse,uppercase+reverse
germany,YNAMREG,upper_reverse,uppercase+reverse
ghana,ANAHG,upper_reverse,uppercase+reverse
greece,ECEERG,upper_reverse,uppercase+reverse
grenada,ADANERG,upper_reverse,uppercase+reverse
guatemala,ALAMETAUG,upper_reverse,uppercase+reverse
guinea,AENIUG,upper_reverse,uppercase+reverse
guyana,ANAYUG,upper_reverse,uppercase+reverse
haiti,ITIAH,upper_reverse,uppercase+reverse
honduras,SARUDNOH,upper_reverse,uppercase+reverse
hungary,YRAGNUH,upper_reverse,uppercase+reverse
iceland,DNALECI,upper_reverse,uppercase+reverse
india,AIDNI,upper_reverse,uppercase+reverse
indonesia,AISENODNI,upper_reverse,uppercase+reverse
iran,NARI,upper_reverse,uppercase+reverse
iraq,QARI,upper_reverse,uppercase+reverse
ireland,DNALERI,upper_reverse,uppercase+reverse
israel,LEARSI,upper_reverse,uppercase+reverse
italy,YLATI,upper_reverse,uppercase+reverse
jamaica,ACIAMAJ,upper_reverse,uppercase+reverse
japan,NAPAJ,upper_reverse,uppercase+reverse
jordan,NADROJ,upper_reverse,uppercase+reverse
kazakhstan,NATSHKAZAK,upper_reverse,uppercase+reverse
kenya,AYNEK,upper_reverse,uppercase+reverse
kiribati,ITABIRIK,upper_reverse,uppercase+reverse
