input,output,original_input,original_output,category_name,operations,spaced
a f g h a n i s t a n,N A T S I N A H G F A,afghanistan,NATSINAHGFA,upper_reverse,uppercase+reverse,True
a l b a n i a,A I N A B L A,albania,AINABLA,upper_reverse,uppercase+reverse,True
a l g e r i a,A I R E G L A,algeria,AIREGLA,upper_reverse,uppercase+reverse,True
a n d o r r a,A R R O D N A,andorra,ARRODNA,upper_reverse,uppercase+reverse,True
a n g o l a,A L O G N A,angola,ALOGNA,upper_reverse,uppercase+reverse,True
a r g e n t i n a,A N I T N E G R A,argentina,ANITNEGRA,upper_reverse,uppercase+reverse,True
a r m e n i a,A I N E M R A,armenia,AINEMRA,upper_reverse,uppercase+reverse,True
a u s t r a l i a,A I L A R T S U A,australia,AILARTSUA,upper_reverse,uppercase+reverse,True
a u s t r i a,A I R T S U A,austria,AIRTSUA,upper_reverse,uppercase+reverse,True
a z e r b a i j a n,N A J I A B R E Z A,azerbaijan,NAJIABREZA,upper_reverse,uppercase+reverse,True
b a h a m a s,S A M A H A B,bahamas,SAMAHAB,upper_reverse,uppercase+reverse,True
b a h r a i n,N I A R H A B,bahrain,NIARHAB,upper_reverse,uppercase+reverse,True
b a n g l a d e s h,H S E D A L G N A B,bangladesh,HSEDALGNAB,upper_reverse,uppercase+reverse,True
b a r b a d o s,S O D A B R A B,barbados,SODABRAB,upper_reverse,uppercase+reverse,True
b e l a r u s,S U R A L E B,belarus,SURALEB,upper_reverse,uppercase+reverse,True
b e l g i u m,M U I G L E B,belgium,MUIGLEB,upper_reverse,uppercase+reverse,True
b e l i z e,E Z I L E B,belize,EZILEB,upper_reverse,uppercase+reverse,True
b e n i n,N I N E B,benin,NINEB,upper_reverse,uppercase+reverse,True
b h u t a n,N A T U H B,bhutan,NATUHB,upper_reverse,uppercase+reverse,True
b o l i v i a,A I V I L O B,bolivia,AIVILOB,upper_reverse,uppercase+reverse,True
b o t s w a n a,A N A W S T O B,botswana,ANAWSTOB,upper_reverse,uppercase+reverse,True
b r a z i l,L I Z A R B,brazil,LIZARB,upper_reverse,uppercase+reverse,True
b r u n e i,I E N U R B,brunei,IENURB,upper_reverse,uppercase+reverse,True
b u l g a r i a,A I R A G L U B,bulgaria,AIRAGLUB,upper_reverse,uppercase+reverse,True
b u r u n d i,I D N U R U B,burundi,IDNURUB,upper_reverse,uppercase+reverse,True
c a m b o d i a,A I D O B M A C,cambodia,AIDOBMAC,upper_reverse,uppercase+reverse,True
c a m e r o o n,N O O R E M A C,cameroon,NOOREMAC,upper_reverse,uppercase+reverse,True
c a n a d a,A D A N A C,canada,ADANAC,upper_reverse,uppercase+reverse,True
c h a d,D A H C,chad,DAHC,upper_reverse,uppercase+reverse,True
c h i l e,E L I H C,chile,ELIHC,upper_reverse,uppercase+reverse,True
c h i n a,A N I H C,china,ANIHC,upper_reverse,uppercase+reverse,True
c o l o m b i a,A I B M O L O C,colombia,AIBMOLOC,upper_reverse,uppercase+reverse,True
c o m o r o s,S O R O M O C,comoros,SOROMOC,upper_reverse,uppercase+reverse,True
c o n g o,O G N O C,congo,OGNOC,upper_reverse,uppercase+reverse,True
c r o a t i a,A I T A O R C,croatia,AITAORC,upper_reverse,uppercase+reverse,True
c u b a,A B U C,cuba,ABUC,upper_reverse,uppercase+reverse,True
c y p r u s,S U R P Y C,cyprus,SURPYC,upper_reverse,uppercase+reverse,True
d e n m a r k,K R A M N E D,denmark,KRAMNED,upper_reverse,uppercase+reverse,True
d j i b o u t i,I T U O B I J D,djibouti,ITUOBIJD,upper_reverse,uppercase+reverse,True
d o m i n i c a,A C I N I M O D,dominica,ACINIMOD,upper_reverse,uppercase+reverse,True
e c u a d o r,R O D A U C E,ecuador,RODAUCE,upper_reverse,uppercase+reverse,True
e g y p t,T P Y G E,egypt,TPYGE,upper_reverse,uppercase+reverse,True
e r i t r e a,A E R T I R E,eritrea,AERTIRE,upper_reverse,uppercase+reverse,True
e s t o n i a,A I N O T S E,estonia,AINOTSE,upper_reverse,uppercase+reverse,True
e s w a t i n i,I N I T A W S E,eswatini,INITAWSE,upper_reverse,uppercase+reverse,True
e t h i o p i a,A I P O I H T E,ethiopia,AIPOIHTE,upper_reverse,uppercase+reverse,True
f i j i,I J I F,fiji,IJIF,upper_reverse,uppercase+reverse,True
f i n l a n d,D N A L N I F,finland,DNALNIF,upper_reverse,uppercase+reverse,True
f r a n c e,E C N A R F,france,ECNARF,upper_reverse,uppercase+reverse,True
g a b o n,N O B A G,gabon,NOBAG,upper_reverse,uppercase+reverse,True
g a m b i a,A I B M A G,gambia,AIBMAG,upper_reverse,uppercase+reverse,True
g e o r g i a,A I G R O E G,georgia,AIGROEG,upper_reverse,uppercase+reverse,True
g e r m a n y,Y N A M R E G,germany,YNAMREG,upper_reverse,uppercase+reverse,True
g h a n a,A N A H G,ghana,ANAHG,upper_reverse,uppercase+reverse,True
g r e e c e,E C E E R G,greece,ECEERG,upper_reverse,uppercase+reverse,True
g r e n a d a,A D A N E R G,grenada,ADANERG,upper_reverse,uppercase+reverse,True
g u a t e m a l a,A L A M E T A U G,guatemala,ALAMETAUG,upper_reverse,uppercase+reverse,True
g u i n e a,A E N I U G,guinea,AENIUG,upper_reverse,uppercase+reverse,True
g u y a n a,A N A Y U G,guyana,ANAYUG,upper_reverse,uppercase+reverse,True
h a i t i,I T I A H,haiti,ITIAH,upper_reverse,uppercase+reverse,True
h o n d u r a s,S A R U D N O H,honduras,SARUDNOH,upper_reverse,uppercase+reverse,True
h u n g a r y,Y R A G N U H,hungary,YRAGNUH,upper_reverse,uppercase+reverse,True
i c e l a n d,D N A L E C I,iceland,DNALECI,upper_reverse,uppercase+reverse,True
i n d i a,A I D N I,india,AIDNI,upper_reverse,uppercase+reverse,True
i n d o n e s i a,A I S E N O D N I,indonesia,AISENODNI,upper_reverse,uppercase+reverse,True
i r a n,N A R I,iran,NARI,upper_reverse,uppercase+reverse,True
i r a q,Q A R I,iraq,QARI,upper_reverse,uppercase+reverse,True
i r e l a n d,D N A L E R I,ireland,DNALERI,upper_reverse,uppercase+reverse,True
i s r a e l,L E A R S I,israel,LEARSI,upper_reverse,uppercase+reverse,True
i t a l y,Y L A T I,italy,YLATI,upper_reverse,uppercase+reverse,True
j a m a i c a,A C I A M A J,jamaica,ACIAMAJ,upper_reverse,uppercase+reverse,True
j a p a n,N A P A J,japan,NAPAJ,upper_reverse,uppercase+reverse,True
j o r d a n,N A D R O J,jordan,NADROJ,upper_reverse,uppercase+reverse,True
k a z a k h s t a n,N A T S H K A Z A K,kazakhstan,NATSHKAZAK,upper_reverse,uppercase+reverse,True
k e n y a,A Y N E K,kenya,AYNEK,upper_reverse,uppercase+reverse,True
k i r i b a t i,I T A B I R I K,kiribati,ITABIRIK,upper_reverse,uppercase+reverse,True
k o s o v o,O V O S O K,kosovo,OVOSOK,upper_reverse,uppercase+reverse,True
k u w a i t,T I A W U K,kuwait,TIAWUK,upper_reverse,uppercase+reverse,True
k y r g y z s t a n,N A T S Z Y G R Y K,kyrgyzstan,NATSZYGRYK,upper_reverse,uppercase+reverse,True
l a o s,S O A L,laos,SOAL,upper_reverse,uppercase+reverse,True
l a t v i a,A I V T A L,latvia,AIVTAL,upper_reverse,uppercase+reverse,True
l e b a n o n,N O N A B E L,lebanon,NONABEL,upper_reverse,uppercase+reverse,True
l e s o t h o,O H T O S E L,lesotho,OHTOSEL,upper_reverse,uppercase+reverse,True
l i b e r i a,A I R E B I L,liberia,AIREBIL,upper_reverse,uppercase+reverse,True
l i b y a,A Y B I L,libya,AYBIL,upper_reverse,uppercase+reverse,True
l i e c h t e n s t e i n,N I E T S N E T H C E I L,liechtenstein,NIETSNETHCEIL,upper_reverse,uppercase+reverse,True
l i t h u a n i a,A I N A U H T I L,lithuania,AINAUHTIL,upper_reverse,uppercase+reverse,True
l u x e m b o u r g,G R U O B M E X U L,luxembourg,GRUOBMEXUL,upper_reverse,uppercase+reverse,True
m a d a g a s c a r,R A C S A G A D A M,madagascar,RACSAGADAM,upper_reverse,uppercase+reverse,True
m a l a w i,I W A L A M,malawi,IWALAM,upper_reverse,uppercase+reverse,True
m a l a y s i a,A I S Y A L A M,malaysia,AISYALAM,upper_reverse,uppercase+reverse,True
m a l d i v e s,S E V I D L A M,maldives,SEVIDLAM,upper_reverse,uppercase+reverse,True
m a l i,I L A M,mali,ILAM,upper_reverse,uppercase+reverse,True
m a l t a,A T L A M,malta,ATLAM,upper_reverse,uppercase+reverse,True
m a u r i t a n i a,A I N A T I R U A M,mauritania,AINATIRUAM,upper_reverse,uppercase+reverse,True
m a u r i t i u s,S U I T I R U A M,mauritius,SUITIRUAM,upper_reverse,uppercase+reverse,True
m e x i c o,O C I X E M,mexico,OCIXEM,upper_reverse,uppercase+reverse,True
m i c r o n e s i a,A I S E N O R C I M,micronesia,AISENORCIM,upper_reverse,uppercase+reverse,True
m o l d o v a,A V O D L O M,moldova,AVODLOM,upper_reverse,uppercase+reverse,True
m o n a c o,O C A N O M,monaco,OCANOM,upper_reverse,uppercase+reverse,True
m o n g o l i a,A I L O G N O M,mongolia,AILOGNOM,upper_reverse,uppercase+reverse,True
m o n t e n e g r o,O R G E N E T N O M,montenegro,ORGENETNOM,upper_reverse,uppercase+reverse,True
m o r o c c o,O C C O R O M,morocco,OCCOROM,upper_reverse,uppercase+reverse,True
m o z a m b i q u e,E U Q I B M A Z O M,mozambique,EUQIBMAZOM,upper_reverse,uppercase+reverse,True
m y a n m a r,R A M N A Y M,myanmar,RAMNAYM,upper_reverse,uppercase+reverse,True
n a m i b i a,A I B I M A N,namibia,AIBIMAN,upper_reverse,uppercase+reverse,True
n a u r u,U R U A N,nauru,URUAN,upper_reverse,uppercase+reverse,True
n e p a l,L A P E N,nepal,LAPEN,upper_reverse,uppercase+reverse,True
n e t h e r l a n d s,S D N A L R E H T E N,netherlands,SDNALREHTEN,upper_reverse,uppercase+reverse,True
n i c a r a g u a,A U G A R A C I N,nicaragua,AUGARACIN,upper_reverse,uppercase+reverse,True
n i g e r,R E G I N,niger,REGIN,upper_reverse,uppercase+reverse,True
n i g e r i a,A I R E G I N,nigeria,AIREGIN,upper_reverse,uppercase+reverse,True
n o r w a y,Y A W R O N,norway,YAWRON,upper_reverse,uppercase+reverse,True
o m a n,N A M O,oman,NAMO,upper_reverse,uppercase+reverse,True
p a k i s t a n,N A T S I K A P,pakistan,NATSIKAP,upper_reverse,uppercase+reverse,True
p a l a u,U A L A P,palau,UALAP,upper_reverse,uppercase+reverse,True
p a l e s t i n e,E N I T S E L A P,palestine,ENITSELAP,upper_reverse,uppercase+reverse,True
p a n a m a,A M A N A P,panama,AMANAP,upper_reverse,uppercase+reverse,True
p a r a g u a y,Y A U G A R A P,paraguay,YAUGARAP,upper_reverse,uppercase+reverse,True
p e r u,U R E P,peru,UREP,upper_reverse,uppercase+reverse,True
p h i l i p p i n e s,S E N I P P I L I H P,philippines,SENIPPILIHP,upper_reverse,uppercase+reverse,True
p o l a n d,D N A L O P,poland,DNALOP,upper_reverse,uppercase+reverse,True
